Tiempo,Ch1,Ch2
32.67,-14.4,-0.8
32.725,-14.4,-1.2
32.78,-14.8,-1.6
32.835,-14.8,-1.2
32.89,-14.8,-1.2
32.945,-15.6,-1.2
33.0,-15.6,-1.2
33.055,-15.6,-1.2
33.11,-16.0,-1.2
33.165,-16.4,-1.2
33.22,-16.4,-1.2
33.275,-16.4,-1.2
33.33,-16.4,-1.2
33.385,-16.4,-0.8
33.44,-16.8,-1.2
33.495,-16.8,-1.2
33.55,-17.2,-1.2
33.605000000000004,-17.6,-1.2
33.660000000000004,-17.2,-1.2
33.715,-17.2,-1.2
33.77,-17.6,-1.2
33.825,-17.6,-1.2
33.88,-17.6,-1.2
33.935,-17.6,-1.2
33.99,-17.6,-1.2
34.045,-17.6,-1.2
34.1,-17.6,-1.2
34.155,-18.0,-1.2
34.21,-18.4,-1.2
34.265,-18.0,-1.2
34.32,-17.6,-1.2
34.375,-18.0,-1.2
34.43,-18.0,-1.2
34.485,-18.4,-1.2
34.54,-18.4,-1.2
34.595,-18.0,-1.2
34.65,-18.0,-1.2
34.705,-18.4,-1.2
34.76,-18.4,-1.2
34.815,-18.4,-1.2
34.87,-18.0,-1.2
34.925000000000004,-18.4,-1.2
34.980000000000004,-18.4,-1.2
35.035000000000004,-18.4,-1.2
35.09,-18.4,-1.2
35.145,-18.4,-1.2
35.2,-18.4,-1.2
35.255,-18.4,-1.2
35.31,-18.4,-0.8
35.365,-18.4,-1.2
35.42,-18.4,-1.2
35.475,-18.4,-1.2
35.53,-18.4,-1.2
35.585,-18.4,-1.2
35.64,-18.8,-1.2
35.695,-18.4,-1.2
35.75,-18.4,-1.2
35.805,-18.0,-1.2
35.86,-18.0,-1.2
35.915,-18.0,-1.2
35.97,-18.0,-1.2
36.025,-17.6,-1.2
36.08,-17.6,-1.2
36.135,-17.6,-1.2
36.19,-17.2,-1.2
36.245,-17.2,-1.2
36.300000000000004,-17.6,-1.2
36.355000000000004,-16.8,-1.2
36.410000000000004,-16.8,-1.2
36.465,-16.8,-1.2
36.52,-16.4,-1.2
36.575,-16.4,-1.2
36.63,-16.0,-1.2
36.685,-16.4,-1.2
36.74,-16.0,-1.2
36.795,-16.0,-1.2
36.85,-16.0,-1.2
36.905,-15.6,-1.2
36.96,-15.6,-1.2
37.015,-15.2,-1.2
37.07,-15.2,-1.2
37.125,-14.8,-1.2
37.18,-14.8,-1.2
37.235,-14.8,-1.2
37.29,-14.4,-1.2
37.345,-14.4,-1.2
37.4,-14.0,-1.2
37.455,-14.0,-1.2
37.51,-14.0,-1.2
37.565,-13.6,-1.2
37.62,-13.2,-1.2
37.675000000000004,-13.2,-1.2
37.730000000000004,-12.8,-1.2
37.785000000000004,-12.8,-1.2
37.84,-12.8,-1.2
37.895,-12.4,-1.2
37.95,-11.6,-1.2
38.005,-11.6,-1.2
38.06,-11.6,-1.2
38.115,-11.2,-1.2
38.17,-10.4,-1.2
38.225,-10.8,-1.2
38.28,-10.4,-1.2
38.335,-10.0,-1.2
38.39,-9.6,-1.2
38.445,-9.2,-1.2
38.5,-8.8,-1.2
38.555,-8.8,-1.2
38.61,-8.8,-1.2
38.665,-8.4,-1.2
38.72,-8.4,-1.2
38.775,-8.0,-1.2
38.83,-7.6,-1.2
38.885,-6.8,-1.2
38.94,-6.8,-1.2
38.995,-6.4,-1.2
39.050000000000004,-5.6,-1.2
39.105000000000004,-5.6,-1.2
39.160000000000004,-5.2,-1.2
39.215,-5.2,-1.2
39.27,-4.8,-1.2
39.325,-4.4,-1.2
39.38,-4.0,-1.2
39.435,-3.6,-1.2
39.49,-3.6,-1.2
39.545,-3.2,-1.2
39.6,-2.8,-1.2
39.655,-2.4,-1.2
39.71,-2.0,-1.2
39.765,-2.0,-1.2
39.82,-1.6,-1.2
39.875,-1.2,-1.2
39.93,-0.8,-0.8
39.985,-0.4,-0.8
40.04,0.0,-1.2
40.095,0.0,-1.2
40.15,0.4,-1.2
40.205,0.8,-0.8
40.26,0.8,-0.8
40.315,0.8,-0.8
40.37,1.2,-0.4
40.425000000000004,1.6,0.0
40.480000000000004,2.0,0.4
40.535000000000004,2.0,0.8
40.59,2.4,0.8
40.645,2.8,1.2
40.7,2.8,1.6
40.755,3.6,1.6
40.81,3.6,2.0
40.865,4.0,2.4
40.92,4.4,2.4
40.975,4.8,2.8
41.03,5.2,3.2
41.085,5.2,3.2
41.14,5.2,3.6
41.195,5.6,4.0
41.25,6.0,4.4
41.305,6.0,4.4
41.36,6.4,4.4
41.415,6.8,4.8
41.47,6.8,5.2
41.525,7.2,5.2
41.58,7.6,5.6
41.635,7.6,6.0
41.69,8.0,6.0
41.745,8.0,6.4
41.800000000000004,8.4,6.4
41.855000000000004,8.8,6.8
41.910000000000004,8.8,7.2
41.965,8.8,6.8
42.02,9.2,7.2
42.075,9.6,7.2
42.13,10.0,8.0
42.185,10.0,8.4
42.24,10.4,8.4
42.295,10.4,8.4
42.35,10.8,8.8
42.405,11.2,9.2
42.46,11.6,9.2
42.515,11.2,9.6
42.57,11.6,9.6
42.625,12.0,10.0
42.68,12.0,10.4
42.735,12.4,10.4
42.79,12.4,10.8
42.845,12.8,10.8
42.9,13.2,11.2
42.955,13.6,11.2
43.01,13.6,11.2
43.065,13.6,12.0
43.12,13.6,12.4
43.175000000000004,14.0,12.0
43.230000000000004,14.4,12.4
43.285000000000004,14.4,12.4
43.34,14.4,12.4
43.395,14.4,12.8
43.45,14.8,12.8
43.505,15.2,12.8
43.56,14.8,12.8
